horse_num,oriental_1,oriental_2,oriental_3,oriental_sum,apple_1,apple_2,apple_3,apple_sum,pro_1,pro_2,pro_3,pro_sum,total_1,total_2,total_3,total_sum,w_h_odd,s_b_odd,result,file_name,sheet_name,W.H. FixOdd 60,S.B.Fix Odd 60
7,0,0,2,2,0,2,1,3,0,1,2,3,0,3,5,8,26,27,0.0,M2018-04-25D,Race(7),,
8,2,10,10,22,4,4,14,22,5,3,11,19,11,17,35,63,11,11,3.0,M2018-04-25D,Race(7),,
9,0,2,0,2,0,1,0,1,0,2,0,2,0,5,0,5,41,41,2.0,M2018-04-25D,Race(7),,
10,11,7,5,23,7,12,6,25,5,5,4,14,23,24,15,62,3.8,3.8,0.0,M2018-04-25D,Race(7),,
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,35,0.0,M2018-04-25D,Race(7),,
12,0,3,13,16,0,0,3,3,2,1,5,8,2,4,21,27,7,7,0.0,M2018-04-25D,Race(7),,
1,3,3,4,10,5,3,3,11,12,2,3,17,20,8,10,38,8,8,0.0,M2018-04-25D,Race(8),,
2,6,10,4,20,5,1,11,17,4,1,3,8,15,12,18,45,4,4,2.0,M2018-04-25D,Race(8),,
3,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,2,31,31,0.0,M2018-04-25D,Race(8),,
4,2,7,2,11,1,2,0,3,1,2,3,6,4,11,5,20,10,10,0.0,M2018-04-25D,Race(8),,
5,10,2,3,15,14,3,6,23,1,5,9,15,25,10,18,53,4,4,1.0,M2018-04-25D,Race(8),,
6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,21,21,0.0,M2018-04-25D,Race(8),,
7,0,0,6,6,0,4,2,6,0,6,4,10,0,10,12,22,12,12,0.0,M2018-04-25D,Race(8),,
8,0,5,0,5,0,2,2,4,0,2,2,4,0,9,4,13,21,21,0.0,M2018-04-25D,Race(8),,
9,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,19,19,3.0,M2018-04-25D,Race(8),,
10,9,3,2,14,5,14,5,24,7,7,1,15,21,24,8,53,4,4,0.0,M2018-04-25D,Race(8),,
11,0,0,3,3,0,1,0,1,1,1,0,2,1,2,3,6,18,18,0.0,M2018-04-25D,Race(8),,
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,0.0,M2018-04-25D,Race(8),,
1,6,3,0,9,0,0,0,0,0,0,3,3,6,3,3,12,17,17,0.0,M2018-04-29D,Race(1),,
2,6,6,5,17,5,4,6,15,4,6,5,15,15,16,16,47,2.5,2.5,0.0,M2018-04-29D,Race(1),,
3,3,0,7,10,0,8,2,10,1,1,2,4,4,9,11,24,7.5,7.5,3.0,M2018-04-29D,Race(1),,
4,10,0,5,15,2,4,3,9,2,5,5,12,14,9,13,36,11,11,0.0,M2018-04-29D,Race(1),,
5,0,5,0,5,6,4,3,13,8,2,1,11,14,11,4,29,10,10,0.0,M2018-04-29D,Race(1),,
6,2,9,9,20,8,8,1,17,6,10,1,17,16,27,11,54,3.8,3.8,2.0,M2018-04-29D,Race(1),,
7,3,5,2,10,9,2,7,18,5,2,8,15,17,9,17,43,15,15,0.0,M2018-04-29D,Race(1),,
8,0,2,0,2,0,0,8,8,0,0,1,1,0,2,9,11,13,13,1.0,M2018-04-29D,Race(1),,
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0.0,M2018-04-29D,Race(1),,
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,81,0.0,M2018-04-29D,Race(1),,
